protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
N,0.0,0.0,0.0,98.2,0.0,0.0,0.0,1925.4,0.0,0.0,0.0,0.0,0.0,0.0,435.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,0.0,2485.2,2361.2,124.0,1398.6,1398.6,0.0,962.7,0.0,0.0,435.9,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,1377.0,0.0,0.0,0.0,755.4,269.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.7,0.0,0.0,30.6,0.0,0.0,0.0,0.0,2432.1,1024.6,1407.5,873.6,873.6,0.0,604.4,269.2,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,95.3,0.0,0.0,0.0,171.4,142.3,0.0,0.0,0.0,0.0,371.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,809.5,685.6,123.9,685.6,685.6,0.0,171.4,142.3,371.8,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,74.4,0.0,0.0,0.0,627.0,285.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.7,0.0,0.0,0.0,0.0,0.0,0.0,58.3,0.0,0.0,0.0,0.0,1448.0,1315.3,132.7,791.4,791.4,523.9,566.8,224.5,0.0,0.0,60.2,61.1,402.7,0.0
N,0.0,0.0,0.0,184.8,18.2,0.0,721.7,1719.7,191.4,0.0,0.0,0.0,0.0,548.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2,0.0,0.0,0.0,0.0,3460.1,3180.9,279.2,2150.3,2150.3,122.9,803.6,76.9,548.2,721.6,56.3,66.6,0.0,0.0
N,0.0,0.0,0.0,182.1,0.0,0.0,0.0,485.4,38.9,0.0,119.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.2,0.0,131.6,0.0,2445.3,2012.5,432.8,1876.5,1876.5,19.5,388.3,0.0,0.0,1488.2,0.0,19.5,0.0,0.0
N,0.0,0.0,0.0,133.7,0.0,0.0,0.0,720.5,212.3,0.0,0.0,0.0,0.0,1859.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2925.8,2792.1,133.7,2036.0,2036.0,12.4,720.5,199.9,1115.5,0.0,0.0,12.4,0.0,0.0
N,0.0,0.0,0.0,260.9,0.0,0.0,0.0,109.3,622.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,0.0,1043.8,732.2,311.6,613.1,613.1,41.2,109.3,503.9,0.0,0.0,0.0,41.2,0.0,0.0
N,0.0,0.0,0.0,131.2,0.0,0.0,0.0,435.2,776.8,0.0,0.0,0.0,0.0,2012.9,0.0,0.0,109.4,0.0,0.0,0.0,0.0,0.0,0.0,28.7,21.1,0.0,0.0,0.0,0.0,3515.2,3334.2,181.1,1459.7,1569.0,117.9,127.3,527.2,805.2,109.4,90.3,27.6,0.0,0.0
N,0.0,0.0,0.0,411.9,25.1,701.9,0.0,436.9,308.4,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,1949.7,1447.3,502.5,1126.0,1126.0,0.0,218.5,205.6,0.0,701.9,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,0.0,327.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,0.0,477.1,400.8,76.3,327.1,327.1,73.7,0.0,0.0,327.1,0.0,0.0,73.7,0.0,0.0
