protection,BC,CE,CC,CJ,CR,DL,DC,DS,DV,CH,LB,LM,LV,MU,MS,MH,OM,OV,PA,PP,PSD,SS,SO,SAT,SC,SAU,SPOC,SY,TL,ADS,TS,NTS,TSabove,TSabove2,TSbelow,DSabove,DVabove,MUabove,otherTSabove2,DSbelow,DVbelow,OVbelow,otherTSbelow
Y,0.0,0.0,0.0,819.3,0.0,0.0,0.0,874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.7,1179.3,322.7,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,3694.0,2772.7,921.3,2376.0,2376.0,396.7,874.0,0.0,0.0,1502.0,0.0,0.0,396.7,0.0
Y,0.0,0.0,0.0,126.2,25.9,0.0,0.0,799.9,506.0,0.0,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,1568.0,1305.9,262.1,944.5,944.5,108.4,799.9,144.6,0.0,0.0,0.0,108.4,0.0,0.0
Y,0.0,11.2,0.0,711.8,21.9,0.0,1996.7,1139.2,171.5,0.0,501.7,0.0,0.0,1197.6,0.0,0.0,0.0,1456.3,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,0.0,141.8,0.0,7393.9,5961.4,1432.6,4534.1,4534.1,0.0,310.7,171.5,598.8,3453.1,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,128.7,7.0,0.0,0.0,0.0,111.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.6,0.0,0.0,0.0,0.0,0.0,0.0,45.1,0.0,0.0,0.0,0.0,690.0,509.2,180.8,58.7,58.7,450.6,0.0,58.7,0.0,0.0,0.0,53.0,397.6,0.0
Y,0.0,0.0,0.0,603.8,0.0,0.0,0.0,1689.6,280.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,0.0,0.0,0.0,0.0,2614.6,1969.9,644.7,1817.0,1817.0,40.7,1689.6,127.5,0.0,0.0,0.0,40.7,0.0,0.0
Y,0.0,0.0,0.0,193.5,26.2,0.0,1953.3,384.8,248.0,0.0,301.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107.2,2586.2,521.0,2338.2,2338.2,186.0,384.8,0.0,0.0,1953.3,0.0,186.0,0.0,0.0
Y,0.0,5.9,0.0,382.7,14.8,0.0,588.4,666.5,106.6,0.0,261.3,285.8,0.0,0.0,0.0,0.0,214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,2546.4,1575.9,970.5,1144.0,1358.4,50.8,499.8,55.8,0.0,802.8,0.0,50.8,0.0,0.0
Y,0.0,0.0,0.0,113.3,3.7,0.0,0.0,464.8,196.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2,0.0,0.0,12.5,0.0,893.3,661.7,231.6,378.6,378.6,101.2,298.2,80.5,0.0,0.0,50.5,50.8,0.0,0.0
Y,0.0,17.7,0.0,115.7,3.7,0.0,0.0,4003.5,988.1,0.0,186.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.5,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,331.4,0.0,6133.8,5325.1,808.7,4277.0,4277.0,100.6,3275.6,668.0,0.0,333.5,0.0,100.6,0.0,0.0
Y,0.0,16.7,0.0,252.4,17.9,0.0,0.0,676.1,695.9,0.0,376.3,0.0,0.0,0.0,0.0,0.0,187.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,22.3,0.0,2282.2,1559.8,722.4,545.8,733.5,70.7,338.1,207.7,0.0,187.8,0.0,70.7,0.0,0.0
Y,0.0,16.3,0.0,593.1,20.8,0.0,1701.4,650.5,1411.8,0.0,171.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.0,0.0,0.0,276.4,0.0,0.0,49.9,0.0,97.9,0.0,0.0,6156.4,5304.4,852.0,4589.4,4589.4,417.8,592.2,852.9,0.0,3144.3,58.3,261.6,0.0,97.9
Y,0.0,0.0,0.0,621.6,0.0,0.0,324.9,1286.3,130.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,2386.5,1741.7,644.8,1554.2,1554.2,154.9,1229.3,0.0,0.0,324.9,57.0,97.9,0.0,0.0
Y,0.0,0.0,0.0,138.6,21.0,0.0,0.0,566.7,235.5,0.0,474.9,0.0,0.0,0.0,0.0,0.0,0.0,816.5,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,2355.0,1618.6,736.4,1489.2,1489.2,129.5,566.7,106.0,0.0,816.5,0.0,129.5,0.0,0.0
Y,0.0,12.9,0.0,303.0,0.0,0.0,0.0,1072.4,181.9,0.0,383.5,0.0,0.0,575.5,0.0,0.0,199.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.9,0.0,0.0,0.0,0.0,2882.9,2029.6,853.3,1590.4,1790.2,0.0,893.7,121.3,575.5,199.8,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,89.8,0.0,0.0,0.0,242.4,733.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,199.1,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,1338.4,1215.1,123.4,622.0,661.7,286.5,242.4,379.6,0.0,39.7,0.0,87.4,199.1,0.0
Y,0.0,0.0,0.0,456.5,18.6,0.0,431.4,684.6,142.0,0.0,240.4,0.0,0.0,0.0,0.0,0.0,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,29.4,0.0,2108.7,1333.1,775.6,1116.1,1191.1,47.3,684.6,0.0,0.0,506.5,0.0,47.3,0.0,0.0
